Date,Open,High,Low,Close
2026-03-26 19:14:18.399844,68771.3828125,68771.3828125,68771.3828125,68771.3828125
2026-03-26 19:14:22.592675,68771.3828125,68771.3828125,68771.3828125,68771.3828125
2026-03-26 19:14:23.236191,68771.3828125,68771.3828125,68771.3828125,68771.3828125
2026-03-26 19:17:31.916473,68826.5859375,68826.5859375,68826.5859375,68826.5859375
2026-03-26 19:17:33.840454,68826.5859375,68826.5859375,68826.5859375,68826.5859375
2026-03-26 19:20:14.159109,68814.18039375,68827.94460625,68807.2982875,68821.0625
2026-03-26 19:20:15.835528,68814.18039375,68827.94460625,68807.2982875,68821.0625
2026-03-26 19:20:18.345252,68814.18039375,68827.94460625,68807.2982875,68821.0625
2026-03-26 19:20:19.006076,68814.18039375,68827.94460625,68807.2982875,68821.0625
2026-03-26 19:20:20.003129,68814.18039375,68827.94460625,68807.2982875,68821.0625
2026-03-26 19:20:20.535821,68814.18039375,68827.94460625,68807.2982875,68821.0625
2026-03-26 19:20:21.058426,68814.18039375,68827.94460625,68807.2982875,68821.0625
2026-03-26 19:20:58.921532,68814.18039375,68827.94460625,68807.2982875,68821.0625
2026-03-26 19:21:28.223030,68871.5340328125,68885.3097171875,68864.646190625,68878.421875
2026-03-26 19:21:28.954683,68871.5340328125,68885.3097171875,68864.646190625,68878.421875
2026-03-26 19:22:09.238648,68871.5340328125,68885.3097171875,68864.646190625,68878.421875
2026-03-26 19:22:43.959635,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:45.985801,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:46.873805,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:47.487339,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:48.063204,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:49.101436,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:49.572921,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:51.561656,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:52.014976,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:52.623377,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:53.077209,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:53.539543,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:53.968084,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:22:54.703489,68818.8205546875,68832.5856953125,68811.937984375,68825.703125
2026-03-26 19:25:26.851725,68823.99972421875,68837.76590078125,68817.1166359375,68830.8828125
2026-03-26 19:25:28.148062,68823.99972421875,68837.76590078125,68817.1166359375,68830.8828125
2026-03-26 19:25:29.419778,68823.99972421875,68837.76590078125,68817.1166359375,68830.8828125
2026-03-26 19:29:17.410834,68866.1068359375,68893.6587890625,68859.21884765626,68879.8828125
2026-03-26 19:30:47.322991,68876.6672234375,68904.2234015625,68869.77817890626,68890.4453125
2026-03-26 19:30:48.629637,68876.6672234375,68904.2234015625,68869.77817890626,68890.4453125
2026-03-26 19:30:49.564658,68876.6672234375,68904.2234015625,68869.77817890626,68890.4453125
2026-03-26 19:30:50.671522,68876.6672234375,68904.2234015625,68869.77817890626,68890.4453125
2026-03-26 19:30:51.140674,68876.6672234375,68904.2234015625,68869.77817890626,68890.4453125
2026-03-26 19:30:51.588777,68876.6672234375,68904.2234015625,68869.77817890626,68890.4453125
2026-03-26 19:38:30.894081,68838.604525,68866.145475,68831.7192875,68852.375
2026-03-26 19:53:20.706734,68876.487571875,68904.043678125,68869.5985453125,68890.265625
2026-03-26 19:59:16.668903,68971.58573593751,68999.17988906249,68964.68719765625,68985.3828125
2026-03-26 20:08:08.726141,69050.1169015625,69077.7424734375,69043.21050859375,69063.9296875
2026-03-26 20:10:28.457792,69012.85091875,69040.46158125,69005.948253125,69026.65625
